Date,Open,High,Low,Close,Adj Close,Volume
May 16 2024,190.47,191.10,189.66,189.84,188.96,52845200
May 15 2024,187.91,190.65,187.37,189.72,188.84,70400000
May 14 2024,187.51,188.30,186.29,187.43,186.56,52393000
May 13 2024,185.44,187.10,184.62,186.28,185.41,72044800
May 10 2024,184.90,185.09,182.13,183.05,182.20,50759500
May 9 2024,182.56,184.66,182.11,184.57,183.46,48983000
May 8 2024,182.85,183.07,181.45,182.74,181.64,45057100
May 7 2024,183.45,184.90,181.32,182.40,181.31,77305800
May 6 2024,182.35,184.20,180.42,181.71,180.62,78569700
May 3 2024,186.65,187.00,182.66,183.38,182.28,163224100
May 2 2024,172.51,173.42,170.89,173.03,171.99,94214900
May 1 2024,169.58,172.71,169.11,169.30,168.28,50383100
Apr 30 2024,173.33,174.99,170.00,170.33,169.31,65934800
Apr 29 2024,173.37,176.03,173.10,173.50,172.46,68169400
Apr 26 2024,169.88,171.34,169.18,169.30,168.28,44838400
Apr 25 2024,169.53,170.61,168.15,169.89,168.87,50558300
Apr 24 2024,166.54,169.30,166.21,169.02,168.01,48251800
Apr 23 2024,165.35,167.05,164.92,166.90,165.90,49537800
Apr 22 2024,165.52,167.26,164.77,165.84,164.84,48116400
Apr 19 2024,166.21,166.40,164.08,165.00,164.01,68149400
Apr 18 2024,168.03,168.64,166.55,167.04,166.04,43122900
Apr 17 2024,169.61,170.65,168.00,168.00,166.99,50901200
Apr 16 2024,171.75,173.76,168.27,169.38,168.36,73711200
Apr 15 2024,175.36,176.63,172.50,172.69,171.65,73531800
Apr 12 2024,174.26,178.36,174.21,176.55,175.49,101670900
Apr 11 2024,168.34,175.46,168.16,175.04,173.99,91070300
Apr 10 2024,168.80,169.09,167.11,167.78,166.77,49709300
Apr 9 2024,168.70,170.08,168.35,169.67,168.65,42373800
Apr 8 2024,169.03,169.20,168.24,168.45,167.44,37425500
Apr 5 2024,169.59,170.39,168.95,169.58,168.56,42104800
Apr 4 2024,170.29,171.92,168.82,168.82,167.81,53704400
Apr 3 2024,168.79,170.68,168.58,169.65,168.63,47691700
Apr 2 2024,169.08,169.34,168.23,168.84,167.83,49329500
Apr 1 2024,171.19,171.25,169.48,170.03,169.01,46240500
Mar 28 2024,171.75,172.23,170.51,171.48,170.45,65672700
Mar 27 2024,170.41,173.60,170.11,173.31,172.27,60273300
Mar 26 2024,170.00,171.42,169.58,169.71,168.69,57388400
Mar 25 2024,170.57,171.94,169.45,170.85,169.82,54288400
Mar 22 2024,171.76,173.05,170.06,172.28,171.25,71160100
Mar 21 2024,177.05,177.49,170.84,171.37,170.34,106181300
Mar 20 2024,175.72,178.67,175.09,178.67,177.60,53423300
Mar 19 2024,174.34,176.61,173.03,176.08,175.02,55215200
Mar 18 2024,175.57,177.71,173.52,173.72,172.68,75604200
Mar 15 2024,171.17,172.62,170.29,172.62,171.58,121752700
Mar 14 2024,172.91,174.31,172.05,173.00,171.96,72913600
Mar 13 2024,172.77,173.19,170.76,171.13,170.10,52488500
Mar 12 2024,173.15,174.03,171.01,173.23,172.19,59825400
Mar 11 2024,172.94,174.38,172.05,172.75,171.71,60139500
Mar 8 2024,169.00,173.70,168.94,170.73,169.71,76267000
Mar 7 2024,169.15,170.73,168.49,169.00,167.99,71765000
Mar 6 2024,171.06,171.24,168.68,169.12,168.10,68587000
Mar 5 2024,170.76,172.04,169.62,170.12,169.10,95132400
Mar 4 2024,176.15,176.90,173.79,175.10,174.05,81510600
Mar 1 2024,179.55,180.53,177.38,179.66,178.58,73563300
Feb 29 2024,181.27,182.57,179.53,180.75,179.66,136682600
Feb 28 2024,182.51,183.12,180.13,181.42,180.33,48953900
Feb 27 2024,181.10,183.92,179.56,182.63,181.53,54318900
Feb 26 2024,182.24,182.76,180.65,181.16,180.07,40867400
Feb 23 2024,185.01,185.04,182.23,182.52,181.42,45119700
Feb 22 2024,183.48,184.96,182.46,184.37,183.26,52292200
Feb 21 2024,181.94,182.89,180.66,182.32,181.23,41371400
Feb 20 2024,181.79,182.43,180.00,181.56,180.47,53665600
Feb 16 2024,183.42,184.85,181.67,182.31,181.22,49752500
Feb 15 2024,183.55,184.49,181.35,183.86,182.76,65434500
Feb 14 2024,185.32,185.53,182.44,184.15,183.04,54630500
Feb 13 2024,185.77,186.21,183.51,185.04,183.93,56529500
Feb 12 2024,188.42,188.67,186.79,187.15,186.03,41781900
Feb 9 2024,188.65,189.99,188.00,188.85,187.72,45155200
Feb 8 2024,189.39,189.54,187.35,188.32,186.95,40962000
Feb 7 2024,190.64,191.05,188.61,189.41,188.03,53439000
Feb 6 2024,186.86,189.31,186.77,189.30,187.92,43490800
Feb 5 2024,188.15,189.25,185.84,187.68,186.32,69668800
Feb 2 2024,179.86,187.33,179.25,185.85,184.50,102551700
Feb 1 2024,183.99,186.95,183.82,186.86,185.50,64885400
Jan 31 2024,187.04,187.10,184.35,184.40,183.06,55467800
Jan 30 2024,190.94,191.80,187.47,188.04,186.67,55859400
Jan 29 2024,192.01,192.20,189.58,191.73,190.34,47145600
Jan 26 2024,194.27,194.76,191.94,192.42,191.02,44594600
Jan 25 2024,195.22,196.27,193.11,194.17,192.76,54822100
Jan 24 2024,195.42,196.38,194.34,194.50,193.09,53631300
Jan 23 2024,195.02,195.75,193.83,195.18,193.76,42355600
Jan 22 2024,192.30,195.33,192.26,193.89,192.48,60133900
Jan 19 2024,189.33,191.95,188.82,191.56,190.17,68903000
Jan 18 2024,186.09,189.14,185.83,188.63,187.26,78005000
Jan 17 2024,181.27,182.93,180.30,182.68,181.35,47317400
Jan 16 2024,182.16,184.26,180.93,183.63,182.30,65603000
Jan 12 2024,186.06,186.74,185.19,185.92,184.57,40477800
Jan 11 2024,186.54,187.05,183.62,185.59,184.24,49128400
Jan 10 2024,184.35,186.40,183.92,186.19,184.84,46792900
Jan 9 2024,183.92,185.15,182.73,185.14,183.79,42841800
Jan 8 2024,182.09,185.60,181.50,185.56,184.21,59144500
Jan 5 2024,181.99,182.76,180.17,181.18,179.86,62397700
Jan 4 2024,182.15,183.09,180.88,181.91,180.59,71983600
Jan 3 2024,184.22,185.88,183.43,184.25,182.91,58414500
Jan 2 2024,187.15,188.44,183.89,185.64,184.29,82488700

